Codigo,,,,,,,,,,,,Precio Referencial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTROL,
OG,OE,OP,AC,Codigo control,Proyecto,Grupo,Partida,Código Actividad Sistema,Detalle de actividad,Cant. ,Costo Unit., (Costo Total  Bs.) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,2,1222,AAF_10,,,,Construcción de las Agendas Estratégicas de APs Beni,,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
1,2,2,2,1222,RAINFOREST,VIAJES_RF,PASAJES AÉREOS NACIONALES,A2.1 / 7 / 7.5,Construcción de las Agendas Estratégicas de APs,1,"112,77","112,77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112,77",
1,2,2,2,1222,RAINFOREST,VIAJES_RF,PASAJES TERRESTRES NACIONALES,A2.1 / 7 / 7.5,Construcción de las Agendas Estratégicas de APs,1,"247,05","247,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"247,05",
1,2,2,2,1222,RAINFOREST,VIAJES_RF,CONBUSTIBLE,A2.1 / 7 / 7.5,Construcción de las Agendas Estratégicas de APs,1,"1.604,19","1.604,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.604,19",
1,2,2,2,1222,RAINFOREST,VIAJES_RF,ALQUILER VEHICULOS,A2.1 / 7 / 7.5,Construcción de las Agendas Estratégicas de APs,1,"1.604,19","1.604,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.604,19",
1,2,2,2,1222,RAINFOREST,VIAJES_RF,"PAGO PONTOS, PEAJES, ETC.",A2.1 / 7 / 7.5,Construcción de las Agendas Estratégicas de APs,1,"1.604,19","1.604,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.604,19",
1,2,2,2,1222,RAINFOREST,VIAJES_RF,VIATICOS,A2.1 / 7 / 7.5,Construcción de las Agendas Estratégicas de APs,1,"440,43","440,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"440,43",
1,2,2,2,1222,RAINFOREST,VIAJES_RF,HOSPEDAJE NACIONAL,A2.1 / 7 / 7.5,Construcción de las Agendas Estratégicas de APs,1,"1.604,19","1.604,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.604,19",
1,,,,1,,,,,,,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
1,2,2,3,1223,AAF_10,CONSULTORES_AAF,CONSULTOR 1,B5.1 ,Plan de Vida Tacana II,1,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
1,2,3,1,1231,RAINFOREST,SERVICIOS_PROFESIONALES_Y_DE_CONSULTORÍA_RF,CONSULTORES,A2.5 / 2 / 2.6,Elaboración de los Planes de Control y Vigilancia,1,"63.922,07","63.922,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63.922,07",
1,2,3,2,1232,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,ALIMENTACIÓN/ VIVERES,A2.5 / 4 / 4.1,Realización de campañas de patrullaje para el control territorial,1,"13.886,43","13.886,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.886,43",
1,2,3,2,1232,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,HERRAMIENTAS VARIAS,A2.5 / 4 / 4.1,Realización de campañas de patrullaje para el control territorial,1,"20.018,61","20.018,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20.018,61",
1,2,3,2,1232,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,CONBUSTIBLE,A2.5 / 4 / 4.1,Realización de campañas de patrullaje para el control territorial,1,"17.330,35","17.330,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17.330,35",
1,2,3,2,1232,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,INSUMOS Y EQUIPAMIENTO,A2.5 / 4 / 4.1,Realización de campañas de patrullaje para el control territorial,1,"14.653,53","14.653,53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.653,53",
1,2,3,2,1232,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,MANTENIMIENTO DE VEHICULOS,A2.5 / 4 / 4.1,Realización de campañas de patrullaje para el control territorial,1,"19.516,65","19.516,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19.516,65",
1,2,3,2,1232,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,HOSPEDAJE NACIONAL,A2.5 / 4 / 4.1,Realización de campañas de patrullaje para el control territorial,1,"18.768,61","18.768,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18.768,61",
