CIUDADES_PRINCIPALES,"229,89","119,05"
CIUDADES_INTERMEDIAS,"155,17","83,33"
PUEBLOS,"137,93","137,93"
COMUNIDADES,"103,45","59,52"
EXTERIOR,"600,00","600,00"
